

CATCH COMPARISONS
******************
OPTION FILE   DESCRIPTION
===========   ==============================================
0021B.OP7     Stage 2 calibration 0021B   OCN old data set JdeF NCBC spt FPs hand comp 83 and 84 fixed mcb term fps




CEILINGS SPECIFIED FOR Alaska T
Catch level comparison

      Actual   0021B    |0021B   
2000   400000     20231 |   0.051

CEILINGS SPECIFIED FOR WCVI T
Catch level comparison

      Actual   0021B    |0021B   
Year   Catch    MDL Cat | Compare
==== ========  ======== |========
1979   480373    548031 |   1.141
1980   488155    459634 |   0.942
1981   397518    467527 |   1.176
1982   543783    479430 |   0.882
1983   385367    446876 |   1.160
1984   460057    695416 |   1.512
1985   354068    397974 |   1.124
1986   342063    384480 |   1.124
1987   378931    425920 |   1.124
1988   408724    459407 |   1.124
1989   203695    228954 |   1.124
1990   297974    334924 |   1.124
1991   202919    228082 |   1.124
1992   346741    389738 |   1.124
1993   274745    308814 |   1.124
1994   145928    164024 |   1.124
1995    80992     91035 |   1.124
1996        4         4 |   1.000
1997    53306     59916 |   1.124
1998    10300     11577 |   1.124
1999        0         0 | - NA - 
2000   400000    226493 |   0.566

CEILINGS SPECIFIED FOR WA/OR T
Catch level comparison

      Actual   0021B    |0021B   
Year   Catch    MDL Cat | Compare
==== ========  ======== |========
1979   138258    232588 |   1.682
1980   133523    183702 |   1.376
1981   124315    190330 |   1.531
1982   166991    193685 |   1.160
1983    80783     69644 |   0.862
1984    32532     54624 |   1.679
1985    64508     88176 |   1.367
1986    81929    111989 |   1.367
1987   124131    169674 |   1.367
1988   157879    215805 |   1.367
1989   140605    192193 |   1.367
1990   112512    153792 |   1.367
1991    88715    121264 |   1.367
1992    99565    136095 |   1.367
1993    65955     90154 |   1.367
1994     7655     10464 |   1.367
1995    15783     21574 |   1.367
1996    22070     30167 |   1.367
1997    21049     28772 |   1.367
1998    21196     28973 |   1.367
1999    45292     61910 |   1.367
2000   400000     43079 |   0.108

CEILINGS SPECIFIED FOR Geo St T
Catch level comparison

      Actual   0021B    |0021B   
Year   Catch    MDL Cat | Compare
==== ========  ======== |========
1979   257278    240442 |   0.935
1980   273122    198439 |   0.727
1981   238876    191288 |   0.801
1982   178498    162927 |   0.913
1983   105061    103947 |   0.989
1984    88158     89359 |   1.014
1985    55686     48141 |   0.865
1986    43899     37951 |   0.865
1987    38695     33452 |   0.865
1988    19611     16954 |   0.865
1989    28474     24616 |   0.865
1990    34384     29725 |   0.865
1991    32230     27863 |   0.865
1992    37249     32202 |   0.865
1993    33237     28734 |   0.865
1994    12988     11228 |   0.864
1995        3         3 |   1.000
1996        2         2 |   1.000
1997      855       739 |   0.864
1998      587       507 |   0.864
1999       74        64 |   0.865
2000   400000     27792 |   0.069

CEILINGS SPECIFIED FOR Alaska N
Catch level comparison

      Actual   0021B    |0021B   
Year   Catch    MDL Cat | Compare
==== ========  ======== |========
1979    28455     17223 |   0.605
1980    20114     15770 |   0.784
1981    18951     19265 |   1.017
1982    48999     19712 |   0.402
1983    19655     16951 |   0.862
1984    32398     20179 |   0.623
1985    34168     22114 |   0.647
1986    20483     13257 |   0.647
1987    13952      9030 |   0.647
1988    17443     11289 |   0.647
1989    18540     11999 |   0.647
1990    16100     10420 |   0.647
1991    20048     12975 |   0.647
1992    23995     15530 |   0.647
1993    16503     10681 |   0.647
1994    23272     15062 |   0.647
1995    28600     18510 |   0.647
1996     9200      5954 |   0.647
1997    13892      8991 |   0.647
1998    13441      8699 |   0.647
1999    12917      8360 |   0.647
2000   400000      7866 |   0.020

CEILINGS SPECIFIED FOR North N
Catch level comparison

      Actual   0021B    |0021B   
Year   Catch    MDL Cat | Compare
==== ========  ======== |========
1979    55472     38078 |   0.686
1980    35882     33402 |   0.931
1981    53337     36590 |   0.686
1982    77462     36071 |   0.466
1983    25318     19554 |   0.772
1984    47293     25742 |   0.544
1985    63177     40602 |   0.643
1986    38061     24461 |   0.643
1987    38579     24794 |   0.643
1988    27550     17706 |   0.643
1989    42005     26996 |   0.643
1990    32132     20650 |   0.643
1991    49303     31686 |   0.643
1992    35004     22496 |   0.643
1993    35883     23061 |   0.643
1994    18910     12153 |   0.643
1995    24300     15617 |   0.643
1996    19356     12440 |   0.643
1997    15516      9972 |   0.643
1998    21602     13883 |   0.643
1999    12886      8281 |   0.643
2000   400000     15905 |   0.040

CEILINGS SPECIFIED FOR Centr N
Catch level comparison

      Actual   0021B    |0021B   
Year   Catch    MDL Cat | Compare
==== ========  ======== |========
1979    76120     78286 |   1.028
1980    49142     72972 |   1.485
1981    29458     63684 |   2.162
1982    47082     56013 |   1.190
1983    32575     11602 |   0.356
1984     9644      3755 |   0.389
1985    27141     31845 |   1.173
1986    55391     64991 |   1.173
1987    21395     25103 |   1.173
1988    21224     24902 |   1.173
1989     6275      7363 |   1.173
1990    28489     33426 |   1.173
1991    15024     17628 |   1.173
1992    17030     19981 |   1.173
1993     7791      9141 |   1.173
1994     9310     10924 |   1.173
1995     3992      4684 |   1.173
1996     3089      3624 |   1.173
1997     3739      4387 |   1.173
1998     4983      5847 |   1.173
1999     4234      4968 |   1.173
2000   400000     12931 |   0.032

CEILINGS SPECIFIED FOR J De F N
Catch level comparison

      Actual   0021B    |0021B   
Year   Catch    MDL Cat | Compare
==== ========  ======== |========
1979    34912     19694 |   0.564
1980     7883     18305 |   2.322
1981    29245     18901 |   0.646
1982    16961     17394 |   1.026
1983     3689      1373 |   0.372
1984    20802     10338 |   0.497
1985    44617     33811 |   0.758
1986    59851     45356 |   0.758
1987    11255      8529 |   0.758
1988    11781      8928 |   0.758
1989    32008     24256 |   0.758
1990    12798      9698 |   0.758
1991    11780      8927 |   0.758
1992    15605     11826 |   0.758
1993     2813      2132 |   0.758
1994    13840     10488 |   0.758
1995     1530      1159 |   0.758
1996      607       460 |   0.758
1997      386       293 |   0.759
1998      150       114 |   0.760
1999      304       230 |   0.757
2000   400000      5929 |   0.015

CEILINGS SPECIFIED FOR PgtNth N
Catch level comparison

      Actual   0021B    |0021B   
Year   Catch    MDL Cat | Compare
==== ========  ======== |========
1979    64689     51135 |   0.790
1980    75658     51964 |   0.687
1981    69236     48065 |   0.694
1982    61310     47121 |   0.769
1983    44638     49671 |   1.113
1984    45552     39368 |   0.864
1985    46363     36915 |   0.796
1986    38000     30264 |   0.796
1987    40000     31851 |   0.796
1988    42000     33433 |   0.796
1989    26000     20701 |   0.796
1990    13902     11064 |   0.796
1991    15143     12052 |   0.796
1992    14938     11888 |   0.796
1993    14636     11650 |   0.796
1994    19727     15706 |   0.796
1995    10030      7982 |   0.796
1996     4397      3499 |   0.796
1997    30261     24080 |   0.796
1998     3063      2437 |   0.796
1999      769       612 |   0.796
2000   400000     13970 |   0.035

CEILINGS SPECIFIED FOR John St N
Catch level comparison

      Actual   0021B    |0021B   
Year   Catch    MDL Cat | Compare
==== ========  ======== |========
1979    44323     68754 |   1.551
1980    48881     63032 |   1.289
1981    49393     56691 |   1.148
1982    43134     45470 |   1.054
1983    59876     81050 |   1.354
1984    38065     33035 |   0.868
1985    50948     62507 |   1.227
1986    25422     31190 |   1.227
1987    21134     25929 |   1.227
1988    10785     13232 |   1.227
1989    36639     44952 |   1.227
1990    23733     29118 |   1.227
1991    19714     24187 |   1.227
1992    13896     17049 |   1.227
1993    22858     28044 |   1.227
1994    11683     14334 |   1.227
1995     1644      2017 |   1.227
1996      555       681 |   1.227
1997      853      1047 |   1.227
1998       77        94 |   1.221
1999      159       195 |   1.226
2000   400000     19108 |   0.048

CEILINGS SPECIFIED FOR Alaska S
Catch level comparison

      Actual   0021B    |0021B   
Year   Catch    MDL Cat | Compare
==== ========  ======== |========
1979    16581     11269 |   0.680
1980    20213     11871 |   0.587
1981    21300     11307 |   0.531
1982    25756     12417 |   0.482
1983    22321     17544 |   0.786
1984    22050     16388 |   0.743
1985    23031     14513 |   0.630
1986    19185     12089 |   0.630
1987    20456     12890 |   0.630
1988    22248     14019 |   0.630
1989    26790     16881 |   0.630
1990    41360     26063 |   0.630
1991    45133     28440 |   0.630
1992    35348     22274 |   0.630
1993    42697     26905 |   0.630
1994    35501     22371 |   0.630
1995    34871     21974 |   0.630
1996    29122     18351 |   0.630
1997    55787     35154 |   0.630
1998    47951     30216 |   0.630
1999    47386     29860 |   0.630
2000   400000     22121 |   0.055

CEILINGS SPECIFIED FOR Nor/Cen S
Catch level comparison

      Actual   0021B    |0021B   
Year   Catch    MDL Cat | Compare
==== ========  ======== |========
1979    15302     22797 |   1.490
1980    19669     22318 |   1.135
1981    11425     21762 |   1.905
1982    17274     22094 |   1.279
1983    12353     11909 |   0.964
1984    10525      9983 |   0.949
1985     9867     12639 |   1.281
1986    12619     16164 |   1.281
1987    13827     17712 |   1.281
1988    19307     24731 |   1.281
1989    35650     45666 |   1.281
1990    31967     40948 |   1.281
1991    32496     41625 |   1.281
1992    37881     48523 |   1.281
1993    38232     48973 |   1.281
1994    38947     49889 |   1.281
1995    30000     38428 |   1.281
1996    11000     14090 |   1.281
1997    40000     51238 |   1.281
1998    40400     51750 |   1.281
1999    40000     51238 |   1.281
2000   400000     34148 |   0.085

CEILINGS SPECIFIED FOR WCVI S
Catch level comparison

      Actual   0021B    |0021B   
Year   Catch    MDL Cat | Compare
==== ========  ======== |========
1979     4100     14761 |   3.600
1980     6100     16012 |   2.625
1981     8800     18578 |   2.111
1982    10000     20301 |   2.030
1983    28000     16432 |   0.587
1984    21200     14633 |   0.690
1985    23100     29752 |   1.288
1986    17100     22024 |   1.288
1987    34800     44821 |   1.288
1988    12800     16486 |   1.288
1989    38800     49972 |   1.288
1990    35000     45078 |   1.288
1991    39500     50874 |   1.288
1992    26200     33744 |   1.288
1993    28800     37093 |   1.288
1994    25400     32714 |   1.288
1995    18600     23956 |   1.288
1996    12200     15713 |   1.288
1997    14600     18804 |   1.288
1998    13500     17387 |   1.288
1999    49999     64396 |   1.288
2000   400000     12840 |   0.032

CEILINGS SPECIFIED FOR Wash Ocn S
Catch level comparison

      Actual   0021B    |0021B   
Year   Catch    MDL Cat | Compare
==== ========  ======== |========
1979    82316    100197 |   1.217
1980    59102     88524 |   1.498
1981    96167     88926 |   0.925
1982   114987     74088 |   0.644
1983    51829     40362 |   0.779
1984     6991     15465 |   2.212
1985    30156     29875 |   0.991
1986    23200     22984 |   0.991
1987    44600     44185 |   0.991
1988    19400     19219 |   0.991
1989    20900     20705 |   0.991
1990    32900     32594 |   0.991
1991    13300     13176 |   0.991
1992    18900     18724 |   0.991
1993    13600     13473 |   0.991
1994        0         0 | - NA - 
1995      600       594 |   0.990
1996      200       198 |   0.990
1997     4100      4062 |   0.991
1998     2200      2180 |   0.991
1999    10800     10699 |   0.991
2000   400000     11073 |   0.028

CEILINGS SPECIFIED FOR PgtNth S
Catch level comparison

      Actual   0021B    |0021B   
Year   Catch    MDL Cat | Compare
==== ========  ======== |========
1979    84461     67164 |   0.795
1980    68646     63075 |   0.919
1981    61079     61260 |   1.003
1982    36795     58066 |   1.578
1983    73226     41553 |   0.567
1984    73762     48376 |   0.656
1985    56877     48520 |   0.853
1986    84000     71658 |   0.853
1987    67000     57156 |   0.853
1988    48000     40947 |   0.853
1989    61000     52037 |   0.853
1990    58273     49711 |   0.853
1991    44782     38202 |   0.853
1992    45226     38581 |   0.853
1993    39350     33568 |   0.853
1994     7456      6360 |   0.853
1995    14212     12124 |   0.853
1996    19910     16985 |   0.853
1997    21364     18225 |   0.853
1998    25230     21523 |   0.853
1999     8900      7592 |   0.853
2000   400000     19019 |   0.048

CEILINGS SPECIFIED FOR PgtSth S
Catch level comparison

      Actual   0021B    |0021B   
Year   Catch    MDL Cat | Compare
==== ========  ======== |========
1979   156402     87420 |   0.559
1980   142799     85678 |   0.600
1981   106048     82244 |   0.776
1982    85703     79487 |   0.927
1983   123752     50273 |   0.406
1984   102740     51797 |   0.504
1985    92603     56392 |   0.609
1986    88000     53589 |   0.609
1987    59000     35929 |   0.609
1988    63000     38365 |   0.609
1989    75000     45673 |   0.609
1990    71000     43237 |   0.609
1991    48859     29754 |   0.609
1992    51656     31457 |   0.609
1993    41034     24988 |   0.609
1994    40830     24864 |   0.609
1995    53480     32568 |   0.609
1996    56246     34252 |   0.609
1997    37105     22596 |   0.609
1998    48649     29626 |   0.609
1999    17200     10474 |   0.609
2000   400000     25049 |   0.063

CEILINGS SPECIFIED FOR Geo St S
Catch level comparison

      Actual   0021B    |0021B   
Year   Catch    MDL Cat | Compare
==== ========  ======== |========
1979   350000    501727 |   1.434
1980   371000    446939 |   1.205
1981   253300    407556 |   1.609
1982   163793    267521 |   1.633
1983   198433    167457 |   0.844
1984   369445    397094 |   1.075
1985   234838    301233 |   1.283
1986   181896    233323 |   1.283
1987   121081    155314 |   1.283
1988   119117    152795 |   1.283
1989   132846    170405 |   1.283
1990   111914    143555 |   1.283
1991   115523    148184 |   1.283
1992   116579    149539 |   1.283
1993   125762    161318 |   1.283
1994    72285     92722 |   1.283
1995    65035     83422 |   1.283
1996   100032    128314 |   1.283
1997    59880     76810 |   1.283
1998    21482     27556 |   1.283
1999    52305     67093 |   1.283
2000   400000    127641 |   0.319


TERMINAL RUN COMPARISONS
************************
OPTION FILE   DESCRIPTION
===========   ==============================================
0021B.OP7     Stage 2 calibration 0021B   OCN old data set JdeF NCBC spt FPs hand comp 83 and 84 fixed mcb term fps




TERMINAL RUN CALIBRATION FOR NTH
----------------------------------------------
COMPARISON FOR ADULTS ONLY

       Calib   0021B    |0021B   
Year   Specs    TRM Run | Compare
==== ========  ======== |========
1979    65589     69511 |   1.060
1980    73819     73200 |   0.992
1981    77497     76792 |   0.991
1982    81130     77824 |   0.959
1983    79798     88913 |   1.114
1984   104271    104678 |   1.004
1985   137688    127530 |   0.926
1986   160810    150085 |   0.933
1987   146249    155369 |   1.062
1988   170827    169441 |   0.992
1989   182280    172961 |   0.949
1990   171153    174013 |   1.017
1991   155317    167379 |   1.078
1992   186898    175173 |   0.937
1993   185544    171567 |   0.925
1994   137418    146621 |   1.067
1995   113944    144074 |   1.264
1996   215259    170121 |   0.790
1997   140139    159190 |   1.136
1998   137556    144136 |   1.048
1999   150775    155332 |   1.030
2000        0    159818 | - NA - 

TERMINAL RUN CALIBRATION FOR FRE
----------------------------------------------
COMPARISON FOR ADULTS ONLY

       Calib   0021B    |0021B   
Year   Specs    TRM Run | Compare
==== ========  ======== |========
1979   104568     94653 |   0.905
1980    68973     78419 |   1.137
1981    64315     70712 |   1.099
1982    81206     74580 |   0.918
1983    72672     81096 |   1.116
1984    93287     99305 |   1.065
1985   122149    115641 |   0.947
1986   144836    130494 |   0.901
1987   128095    130061 |   1.015
1988   129394    126884 |   0.981
1989   101605    114203 |   1.124
1990   129910    117752 |   0.906
1991   110503    109067 |   0.987
1992    93570    101224 |   1.082
1993    89587    101115 |   1.129
1994   126656    108538 |   0.857
1995   110200    125036 |   1.135
1996   160600    152393 |   0.949
1997   167100    152239 |   0.911
1998   151000    144306 |   0.956
1999   106000    128444 |   1.212
2000        0    118058 | - NA - 

TERMINAL RUN CALIBRATION FOR RBH+RBT
----------------------------------------------
COMPARISON FOR ADULTS ONLY

       Calib   0021B    |0021B   
Year   Specs    TRM Run | Compare
==== ========  ======== |========
1979   107087     77153 |   0.720
1980    90652    116888 |   1.289
1981    97533     82986 |   0.851
1982   150701    150623 |   0.999
1983   151745    138540 |   0.913
1984   155546    170909 |   1.099
1985   131030    129793 |   0.991
1986    77107     80698 |   1.047
1987   100040    110386 |   1.103
1988   166674    157804 |   0.947
1989   222590    221804 |   0.996
1990   254204    259388 |   1.020
1991   360656    343035 |   0.951
1992   293617    282318 |   0.962
1993   338375    308140 |   0.911
1994   186849    219506 |   1.175
1995    62390    106973 |   1.715
1996    85412     86315 |   1.011
1997   145202    156707 |   1.079
1998   183594    160777 |   0.876
1999    98400     92641 |   0.941
2000    15040     21040 |   1.399

TERMINAL RUN CALIBRATION FOR GSH
----------------------------------------------
COMPARISON FOR ADULTS ONLY

       Calib   0021B    |0021B   
Year   Specs    TRM Run | Compare
==== ========  ======== |========
1979    13290     15624 |   1.176
1980    13001     13883 |   1.068
1981    11430      9470 |   0.829
1982    10125      9382 |   0.927
1983    10871     10773 |   0.991
1984    14140     11520 |   0.815
1985    17376     19142 |   1.102
1986    15077     15835 |   1.050
1987    11423     12380 |   1.084
1988     7457      7749 |   1.039
1989    12899     12691 |   0.984
1990    13317     14652 |   1.100
1991    14561     17442 |   1.198
1992    15185     13936 |   0.918
1993    15192     10399 |   0.685
1994    14206     11872 |   0.836
1995     9198     16668 |   1.812
1996    18647     18546 |   0.995
1997    29331     16058 |   0.547
1998    19666     24828 |   1.262
1999    20000     23497 |   1.175
2000        0     19165 | - NA - 

TERMINAL RUN CALIBRATION FOR NKF
----------------------------------------------
COMPARISON FOR ADULTS ONLY

       Calib   0021B    |0021B   
Year   Specs    TRM Run | Compare
==== ========  ======== |========
1979    82790     91658 |   1.107
1980   113292    100906 |   0.891
1981    90282    100035 |   1.108
1982   111772    100959 |   0.903
1983    83361    108626 |   1.303
1984   133521    114445 |   0.857
1985   136902    128538 |   0.939
1986   111231    104751 |   0.942
1987    67749     76589 |   1.130
1988    50918     62904 |   1.235
1989    75652     78935 |   1.043
1990   105152     79582 |   0.757
1991    41085     52393 |   1.275
1992    27703     34592 |   1.249
1993    36504     30830 |   0.845
1994    29073     28937 |   0.995
1995    22498     26128 |   1.161
1996    30263     28272 |   0.934
1997    35440     31863 |   0.899
1998    29809     30642 |   1.028
1999    27000     28112 |   1.041
2000    19000     21277 |   1.120

TERMINAL RUN CALIBRATION FOR PSF+PSY
----------------------------------------------
COMPARISON FOR ADULTS ONLY

       Calib   0021B    |0021B   
Year   Specs    TRM Run | Compare
==== ========  ======== |========
1979    53050     62930 |   1.186
1980    67691     66112 |   0.977
1981    75073     65619 |   0.874
1982    50039     58420 |   1.167
1983    56512     64339 |   1.139
1984    77796     64291 |   0.826
1985    62493     65046 |   1.041
1986    60276     62607 |   1.039
1987    71909     73823 |   1.027
1988    79297     81639 |   1.030
1989    98384     91754 |   0.933
1990    84122     75754 |   0.901
1991    54993     58721 |   1.068
1992    39661     45550 |   1.148
1993    44560     47073 |   1.056
1994    60604     64755 |   1.068
1995    96956     80411 |   0.829
1996    79074     78940 |   0.998
1997    65231     71500 |   1.096
1998    76930     70870 |   0.921
1999    69285     76329 |   1.102
2000    69800     67306 |   0.964

TERMINAL RUN CALIBRATION FOR PSN
----------------------------------------------
COMPARISON FOR ADULTS ONLY

       Calib   0021B    |0021B   
Year   Specs    TRM Run | Compare
==== ========  ======== |========
1979    28435     27058 |   0.952
1980    23341     21746 |   0.932
1981    12131     15794 |   1.302
1982    13438     17744 |   1.320
1983    29377     24699 |   0.841
1984    23234     24044 |   1.035
1985    27595     26164 |   0.948
1986    23951     28612 |   1.195
1987    42059     39867 |   0.948
1988    47124     46132 |   0.979
1989    51605     54305 |   1.052
1990    61372     50964 |   0.830
1991    37257     40814 |   1.095
1992    26453     28393 |   1.073
1993    21252     24194 |   1.138
1994    31120     29487 |   0.948
1995    36922     33828 |   0.916
1996    36808     33314 |   0.905
1997    21099     27103 |   1.285
1998    29238     26349 |   0.901
1999    28400     26249 |   0.924
2000    10000     15364 |   1.536

TERMINAL RUN CALIBRATION FOR SKG
----------------------------------------------
COMPARISON FOR ADULTS ONLY

       Calib   0021B    |0021B   
Year   Specs    TRM Run | Compare
==== ========  ======== |========
1979    24124     26310 |   1.091
1980    30887     29760 |   0.964
1981    21430     23985 |   1.119
1982    24053     21550 |   0.896
1983    15270     15099 |   0.989
1984    15764     18072 |   1.146
1985    25891     28505 |   1.101
1986    22541     19324 |   0.857
1987    13344     13113 |   0.983
1988    14984     15806 |   1.055
1989    13391     15753 |   1.176
1990    19381     15891 |   0.820
1991     8564      9902 |   1.156
1992     9114      8097 |   0.888
1993     6926      6544 |   0.945
1994     6189      7239 |   1.170
1995     9452      9527 |   1.008
1996    12239     10502 |   0.858
1997     6214      9931 |   1.598
1998    14931     10705 |   0.717
1999     7600      8461 |   1.113
2000     7300      6988 |   0.957

TERMINAL RUN CALIBRATION FOR SNO
----------------------------------------------
COMPARISON FOR ADULTS ONLY

       Calib   0021B    |0021B   
Year   Specs    TRM Run | Compare
==== ========  ======== |========
1979    13583     14635 |   1.077
1980    17616     14366 |   0.816
1981     9776     11642 |   1.191
1982     9112     10038 |   1.102
1983    11052     10010 |   0.906
1984     8819      9293 |   1.054
1985     9352      9006 |   0.963
1986     8664      8390 |   0.968
1987     6967      7645 |   1.097
1988     7744      7238 |   0.935
1989     6263      7175 |   1.146
1990     8437      6921 |   0.820
1991     5046      5783 |   1.146
1992     4355      4960 |   1.139
1993     5498      5025 |   0.914
1994     5017      5154 |   1.027
1995     5103      5633 |   1.104
1996     7950      6286 |   0.791
1997     4409      5762 |   1.307
1998     6364      5717 |   0.898
1999     5600      6059 |   1.082
2000     6000      5997 |   0.999

TERMINAL RUN CALIBRATION FOR WCH
----------------------------------------------
COMPARISON FOR ADULTS ONLY

       Calib   0021B    |0021B   
Year   Specs    TRM Run | Compare
==== ========  ======== |========
1979    24200     26532 |   1.096
1980    31280     26336 |   0.842
1981    23049     23376 |   1.014
1982    19078     19938 |   1.045
1983    15164     18355 |   1.210
1984    21608     19800 |   0.916
1985    22278     22867 |   1.026
1986    23768     31102 |   1.309
1987    44661     46608 |   1.044
1988    78721     63986 |   0.813
1989    77163     66683 |   0.864
1990    47813     60093 |   1.257
1991    51599     56632 |   1.098
1992    68550     60423 |   0.881
1993    60905     58422 |   0.959
1994    47047     52010 |   1.105
1995    53249     50791 |   0.954
1996    57840     51515 |   0.891
1997    35207     38421 |   1.091
1998    25047     25910 |   1.034
1999     8964     17382 |   1.939
2000        0     16244 | - NA - 

TERMINAL RUN CALIBRATION FOR URB
----------------------------------------------
COMPARISON FOR ADULTS ONLY

       Calib   0021B    |0021B   
Year   Specs    TRM Run | Compare
==== ========  ======== |========
1979    89200     87094 |   0.976
1980    76800     81271 |   1.058
1981    66700     80380 |   1.205
1982    79000     92315 |   1.169
1983    86000     67670 |   0.787
1984   131300    130017 |   0.990
1985   196500    219008 |   1.115
1986   281500    303543 |   1.078
1987   420600    389619 |   0.926
1988   339900    376984 |   1.109
1989   261400    189193 |   0.724
1990   153600    133205 |   0.867
1991   103500    126529 |   1.223
1992    81000     68672 |   0.848
1993   103000     89230 |   0.866
1994   132800    154466 |   1.163
1995   106500    109225 |   1.026
1996   143100    118586 |   0.829
1997   164900    145260 |   0.881
1998   142300    169894 |   1.194
1999   166700    153368 |   0.920
2000   171100    212317 |   1.241

TERMINAL RUN CALIBRATION FOR SPR
----------------------------------------------
COMPARISON FOR ADULTS ONLY

       Calib   0021B    |0021B   
Year   Specs    TRM Run | Compare
==== ========  ======== |========
1979    95200     98553 |   1.035
1980    97800    104333 |   1.067
1981    86300     80410 |   0.932
1982   120800    122674 |   1.016
1983    28800     26121 |   0.907
1984    47500     44965 |   0.947
1985    33200     35058 |   1.056
1986    16600     17224 |   1.038
1987     9100      9106 |   1.001
1988    12000     14061 |   1.172
1989    26800     25226 |   0.941
1990    19000     18643 |   0.981
1991    52400     53714 |   1.025
1992    29500     28210 |   0.956
1993    16800     16001 |   0.952
1994    18500     18771 |   1.015
1995    33800     33230 |   0.983
1996    33100     39766 |   1.201
1997    27400     22293 |   0.814
1998    20200     24096 |   1.193
1999    49200     46083 |   0.937
2000    21900     17335 |   0.792

TERMINAL RUN CALIBRATION FOR BON+CWF
----------------------------------------------
COMPARISON FOR ADULTS ONLY

       Calib   0021B    |0021B   
Year   Specs    TRM Run | Compare
==== ========  ======== |========
1979   118700    118248 |   0.996
1980   105600     86527 |   0.819
1981    94800    111747 |   1.179
1982   139400    150645 |   1.081
1983    88100    113135 |   1.284
1984   102500     89638 |   0.875
1985   111000    120153 |   1.082
1986   154800    198191 |   1.280
1987   344000    441609 |   1.284
1988   309900    203738 |   0.657
1989   131000     78248 |   0.597
1990    59900     61851 |   1.033
1991    62700     67927 |   1.083
1992    62600     62350 |   0.996
1993    52300     59624 |   1.140
1994    53600     39058 |   0.729
1995    46300     59508 |   1.285
1996    75500     66903 |   0.886
1997    57400     54506 |   0.950
1998    45300     35727 |   0.789
1999    37300     39971 |   1.072
2000    23700     17095 |   0.721

TERMINAL RUN CALIBRATION FOR LRW
----------------------------------------------
COMPARISON FOR ADULTS ONLY

       Calib   0021B    |0021B   
Year   Specs    TRM Run | Compare
==== ========  ======== |========
1979    32700     29602 |   0.905
1980    38800     33726 |   0.869
1981    25000     30043 |   1.202
1982    13100     16059 |   1.226
1983    16800     16596 |   0.988
1984    13300     11646 |   0.876
1985    13200     14324 |   1.085
1986    24400     20123 |   0.825
1987    37900     39661 |   1.046
1988    41800     35165 |   0.841
1989    38700     46836 |   1.210
1990    20300     21869 |   1.077
1991    19800     16557 |   0.836
1992    12500     11492 |   0.919
1993    13400     13799 |   1.030
1994    12100     11993 |   0.991
1995    16000     19730 |   1.233
1996    14600     13328 |   0.913
1997    12300     13251 |   1.077
1998     7200      7398 |   1.028
1999     3400      3556 |   1.046
