

CATCH COMPARISONS
******************
OPTION FILE   DESCRIPTION
===========   ==============================================
1503B.OP7     STAGE 2 CALIBRATION 1503B




CEILINGS SPECIFIED FOR Alaska T
Catch level comparison

        Actual 1503B.OP7|
 Year    Catch  MDL Cat | Compare
 ==== ======== ======== |========
  6   0.8321  0.7812  0.7026  0.5495  0.5085  0.5221  0.4063  0.3776  0.2844  0.2423  0.3025  0.2876  0.3323  0.2607  0.2596  0.3135  0.2835  0.3305  0.3919  0.3504  0.3362  0.4377  0.3521  0.3709  0.3116  0.3409  0.2016  0.1751  0.1444  0.2022  0.1953  0.1725  0.2269  0.2555
  7   0.8321  0.7812  0.7026  0.5495  0.5084  0.5220  0.4062  0.3775  0.2844  0.2423  0.3025  0.2876  0.3323  0.2607  0.2596  0.3135  0.2835  0.3305  0.3919  0.3504  0.3362  0.4377  0.3520  0.3709  0.3116  0.3409  0.2016  0.1751  0.1444  0.2022  0.1953  0.1726  0.2271  0.2553
  8   0.8320  0.7812  0.7026  0.5495  0.5084  0.5220  0.4062  0.3775  0.2844  0.2423  0.3025  0.2876  0.3323  0.2607  0.2597  0.3135  0.2835  0.3305  0.3919  0.3504  0.3362  0.4377  0.3520  0.3709  0.3116  0.3409  0.2016  0.1751  0.1444  0.2021  0.1953  0.1726  0.2271  0.2552

EV SCALAR COMPARISONS FOR STOCK           WCH
-------------------------------------------------
OP7 file: 1503B.OP7

Iter    1980    1981    1982    1983    1984    1985    1986    1987    1988    1989    1990    1991    1992    1993    1994    1995    1996    1997    1998    1999    2000    2001    2002    2003    2004    2005    2006    2007    2008    2009    2010    2011    2012
===========================================================================================================================================================================================================================================================================================================================
  1   0.7827  0.9182  0.9729  1.1551  2.3414  1.2599  1.7798  1.6663  0.6920  0.5620  0.6134  0.7828  0.6272  0.5539  0.3762  0.2492  0.2381  0.3500  0.2569  0.5057  0.5554  0.6602  0.5802  0.5226  0.4128  0.3378  0.3996  0.4430  0.4450  0.4260  0.3846  0.4035  0.5058  0.5280
  2   0.7811  0.9167  0.9711  1.1481  2.3375  1.2575  1.7648  1.6631  0.6907  0.5609  0.6119  0.7803  0.6255  0.5507  0.3742  0.2492  0.2382  0.3501  0.2570  0.5043  0.5559  0.6611  0.5803  0.5234  0.4134  0.3382  0.4002  0.4436  0.4457  0.4266  0.3854  0.4043  0.4991  0.5191
  3   0.7804  0.9161  0.9705  1.1464  2.3372  1.2572  1.7635  1.6630  0.6908  0.5610  0.6121  0.7808  0.6258  0.5514  0.3748  0.2493  0.2383  0.3503  0.2571  0.5054  0.5564  0.6615  0.5811  0.5234  0.4134  0.3383  0.4002  0.4436  0.4456  0.4266  0.3855  0.4048  0.4963  0.5148
  4   0.7800  0.9157  0.9702  1.1462  2.3370  1.2568  1.7640  1.6624  0.6905  0.5607  0.6118  0.7803  0.6254  0.5509  0.3744  0.2492  0.2382  0.3502  0.2571  0.5048  0.5559  0.6610  0.5805  0.5233  0.4133  0.3381  0.4001  0.4434  0.4455  0.4264  0.3854  0.4050  0.4952  0.5127
  5   0.7798  0.9156  0.9700  1.1463  2.3367  1.2566  1.7645  1.6620  0.6903  0.5606  0.6116  0.7800  0.6252  0.5508  0.3743  0.2492  0.2382  0.3502  0.2571  0.5048  0.5558  0.6608  0.5804  0.5232  0.4132  0.3381  0.4000  0.4434  0.4455  0.4264  0.3854  0.4052  0.4948  0.5117
  6   0.7797  0.9155  0.9699  1.1465  2.3365  1.2565  1.7649  1.6618  0.6902  0.5605  0.6115  0.7799  0.6252  0.5508  0.3743  0.2492  0.2382  0.3501  0.2570  0.5049  0.5558  0.6608  0.5804  0.5231  0.4132  0.3381  0.4000  0.4434  0.4454  0.4264  0.3854  0.4053  0.4947  0.5112
  7   0.7797  0.9155  0.9699  1.1467  2.3364  1.2564  1.7650  1.6617  0.6902  0.5605  0.6115  0.7799  0.6251  0.5508  0.3744  0.2491  0.2382  0.3501  0.2570  0.5049  0.5558  0.6608  0.5804  0.5231  0.4132  0.3381  0.4000  0.4434  0.4454  0.4264  0.3854  0.4053  0.4946  0.5109
  8   0.7796  0.9154  0.9699  1.1468  2.3363  1.2563  1.7651  1.6616  0.6902  0.5605  0.6115  0.7798  0.6251  0.5509  0.3744  0.2491  0.2382  0.3501  0.2570  0.5050  0.5558  0.6608  0.5804  0.5231  0.4132  0.3381  0.4000  0.4433  0.4454  0.4263  0.3853  0.4053  0.4946  0.5108

EV SCALAR COMPARISONS FOR STOCK           URB
-------------------------------------------------
OP7 file: 1503B.OP7

Iter    1980    1981    1982    1983    1984    1985    1986    1987    1988    1989    1990    1991    1992    1993    1994    1995    1996    1997    1998    1999    2000    2001    2002    2003    2004    2005    2006    2007    2008    2009    2010    2011    2012
===========================================================================================================================================================================================================================================================================================================================
  1   1.8932  4.2804  4.8323  7.0443  8.5226  7.5238  3.0803  3.1125  1.0788  1.3413  2.6159  2.3951  0.8706  1.7000  3.0755  0.8766  3.3432  1.6622  2.3387  4.5514  6.4524  3.2254  5.7388  2.7357  1.7972  1.5838  4.1264  3.2899  5.4279  2.8176  7.3718 15.5807  4.9152  7.5295
  2   1.8886  4.2674  4.8085  7.0137  8.4880  7.5096  3.0733  3.1062  1.0767  1.3384  2.6091  2.3875  0.8677  1.6946  3.0703  0.8764  3.3458  1.6628  2.3399  4.5547  6.4605  3.2308  5.7506  2.7413  1.8003  1.5858  4.1320  3.2958  5.4389  2.8217  7.3686 15.5892  4.8810  7.4585
  3   1.8865  4.2628  4.8017  7.0067  8.4832  7.5075  3.0728  3.1064  1.0769  1.3389  2.6106  2.3892  0.8684  1.6958  3.0723  0.8770  3.3473  1.6635  2.3408  4.5564  6.4624  3.2310  5.7505  2.7410  1.8001  1.5858  4.1317  3.2952  5.4368  2.8210  7.3600 15.5852  4.8654  7.4249
  4   1.8856  4.2612  4.8001  7.0052  8.4830  7.5056  3.0719  3.1054  1.0765  1.3382  2.6090  2.3876  0.8679  1.6947  3.0707  0.8766  3.3463  1.6631  2.3402  4.5548  6.4599  3.2300  5.7482  2.7400  1.7996  1.5853  4.1305  3.2939  5.4345  2.8203  7.3551 15.5847  4.8586  7.4092
  5   1.8852  4.2608  4.8002  7.0054  8.4836  7.5043  3.0712  3.1046  1.0762  1.3378  2.6082  2.3867  0.8676  1.6943  3.0700  0.8765  3.3458  1.6629  2.3400  4.5543  6.4590  3.2295  5.7471  2.7395  1.7993  1.5852  4.1302  3.2938  5.4341  2.8201  7.3530 15.5850  4.8557  7.4017
  6   1.8850  4.2607  4.8006  7.0058  8.4842  7.5034  3.0707  3.1041  1.0761  1.3376  2.6078  2.3864  0.8674  1.6942  3.0699  0.8764  3.3455  1.6629  2.3399  4.5541  6.4586  3.2292  5.7466  2.7393  1.7992  1.5851  4.1300  3.2936  5.4339  2.8200  7.3514 15.5843  4.8544  7.3982
  7   1.8849  4.2607  4.8010  7.0061  8.4845  7.5029  3.0704  3.1039  1.0760  1.3375  2.6077  2.3862  0.8674  1.6942  3.0698  0.8764  3.3454  1.6628  2.3398  4.5540  6.4583  3.2291  5.7464  2.7392  1.7991  1.5850  4.1299  3.2935  5.4338  2.8199  7.3505 15.5837  4.8538  7.3966
  8   1.8849  4.2608  4.8013  7.0064  8.4847  7.5026  3.0703  3.1037  1.0760  1.3375  2.6076  2.3861  0.8674  1.6942  3.0698  0.8764  3.3453  1.6628  2.3398  4.5539  6.4582  3.2290  5.7462  2.7391  1.7991  1.5850  4.1298  3.2934  5.4337  2.8198  7.3500 15.5834  4.8535  7.3958

EV SCALAR COMPARISONS FOR STOCK           SPR
-------------------------------------------------
OP7 file: 1503B.OP7

Iter    1980    1981    1982    1983    1984    1985    1986    1987    1988    1989    1990    1991    1992    1993    1994    1995    1996    1997    1998    1999    2000    2001    2002    2003    2004    2005    2006    2007    2008    2009    2010    2011    2012
===========================================================================================================================================================================================================================================================================================================================
  1   1.1823  0.2979  0.4688  0.2715  0.1497  0.1310  0.3301  0.3903  0.6555  0.7188  0.4570  0.1410  0.1021  0.2077  0.3023  0.1520  0.1505  0.3313  0.1462  1.4962  1.3019  1.3112  1.3048  0.5496  0.2196  0.1023  0.6657  0.2137  1.4282  0.5334  0.5431  0.6935  1.1039  1.6230
  2   1.1791  0.2973  0.4678  0.2711  0.1495  0.1307  0.3277  0.3892  0.6496  0.7087  0.4546  0.1401  0.1017  0.2070  0.2989  0.1509  0.1497  0.3314  0.1443  1.4959  1.3023  1.3121  1.3070  0.5512  0.2200  0.1024  0.6664  0.2140  1.4330  0.5347  0.5452  0.6977  1.1590  1.4916
  3   1.1775  0.2970  0.4674  0.2709  0.1495  0.1307  0.3276  0.3895  0.6514  0.7105  0.4559  0.1405  0.1019  0.2073  0.3007  0.1515  0.1502  0.3317  0.1457  1.4980  1.3043  1.3142  1.3079  0.5515  0.2202  0.1029  0.6667  0.2140  1.4395  0.5350  0.5455  0.7002  1.1975  1.4264
  4   1.1767  0.2969  0.4672  0.2708  0.1494  0.1307  0.3274  0.3893  0.6508  0.7102  0.4553  0.1404  0.1018  0.2072  0.3000  0.1513  0.1500  0.3316  0.1452  1.4970  1.3031  1.3127  1.3069  0.5510  0.2201  0.1026  0.6664  0.2139  1.4308  0.5343  0.5444  0.6998  1.2176  1.3941
  5   1.1763  0.2968  0.4671  0.2707  0.1494  0.1306  0.3273  0.3891  0.6503  0.7102  0.4550  0.1403  0.1018  0.2071  0.2998  0.1512  0.1499  0.3315  0.1451  1.4968  1.3029  1.3124  1.3065  0.5507  0.2200  0.1025  0.6662  0.2139  1.4307  0.5343  0.5443  0.7002  1.2302  1.3780
  6   1.1761  0.2968  0.4670  0.2707  0.1494  0.1306  0.3273  0.3890  0.6501  0.7103  0.4549  0.1402  0.1018  0.2070  0.2998  0.1512  0.1499  0.3314  0.1452  1.4967  1.3028  1.3124  1.3064  0.5506  0.2200  0.1025  0.6662  0.2139  1.4312  0.5342  0.5442  0.7001  1.2363  1.3700
  7   1.1760  0.2967  0.4670  0.2707  0.1494  0.1306  0.3273  0.3889  0.6500  0.7104  0.4549  0.1402  0.1017  0.2070  0.2999  0.1512  0.1499  0.3314  0.1452  1.4966  1.3027  1.3123  1.3063  0.5506  0.2199  0.1025  0.6661  0.2139  1.4313  0.5342  0.5441  0.6999  1.2393  1.3660
  8   1.1759  0.2967  0.4670  0.2706  0.1493  0.1306  0.3273  0.3889  0.6501  0.7105  0.4548  0.1402  0.1017  0.2070  0.2999  0.1513  0.1500  0.3314  0.1452  1.4966  1.3026  1.3122  1.3062  0.5505  0.2199  0.1025  0.6661  0.2139  1.4313  0.5342  0.5440  0.6998  1.2407  1.3641

EV SCALAR COMPARISONS FOR STOCK           BON
-------------------------------------------------
OP7 file: 1503B.OP7

Iter    1980    1981    1982    1983    1984    1985    1986    1987    1988    1989    1990    1991    1992    1993    1994    1995    1996    1997    1998    1999    2000    2001    2002    2003    2004    2005    2006    2007    2008    2009    2010    2011    2012
===========================================================================================================================================================================================================================================================================================================================
  1   0.2640  0.2504  0.2216  0.2063  0.3534  0.8378  0.1501  0.1118  0.0577  0.1358  0.1939  0.2247  0.0807  0.0368  0.1322  0.1030  0.1105  0.0611  0.1071  0.4665  0.6668  0.3460  0.0596  0.0349  0.0170  0.0524  0.1139  0.1203  0.2768  0.1876  0.4019  0.1053  0.1814  0.1552
  2   0.2635  0.2500  0.2213  0.2060  0.3529  0.8363  0.1497  0.1115  0.0575  0.1352  0.1923  0.2224  0.0800  0.0363  0.1301  0.1017  0.1088  0.0600  0.1052  0.4582  0.6524  0.3381  0.0597  0.0350  0.0170  0.0513  0.1136  0.1208  0.2727  0.1872  0.4030  0.1039  0.1881  0.1503
  3   0.2632  0.2498  0.2212  0.2059  0.3530  0.8364  0.1497  0.1116  0.0576  0.1355  0.1931  0.2238  0.0804  0.0366  0.1314  0.1026  0.1101  0.0610  0.1071  0.4665  0.6668  0.3467  0.0598  0.0350  0.0170  0.0531  0.1145  0.1209  0.2820  0.1893  0.4048  0.1081  0.1972  0.1483
  4   0.2631  0.2497  0.2211  0.2059  0.3529  0.8363  0.1497  0.1116  0.0576  0.1355  0.1929  0.2235  0.0803  0.0365  0.1310  0.1023  0.1097  0.0607  0.1065  0.4635  0.6607  0.3425  0.0597  0.0350  0.0170  0.0521  0.1139  0.1206  0.2753  0.1872  0.4017  0.1042  0.1961  0.1453
  5   0.2630  0.2497  0.2210  0.2059  0.3529  0.8361  0.1497  0.1116  0.0576  0.1354  0.1927  0.2233  0.0803  0.0365  0.1308  0.1022  0.1096  0.0606  0.1064  0.4631  0.6599  0.3421  0.0597  0.0350  0.0170  0.0521  0.1138  0.1206  0.2761  0.1874  0.4018  0.1051  0.1989  0.1451
  6   0.2630  0.2497  0.2210  0.2058  0.3528  0.8359  0.1496  0.1115  0.0575  0.1354  0.1927  0.2232  0.0802  0.0365  0.1308  0.1022  0.1097  0.0607  0.1064  0.4634  0.6605  0.3425  0.0597  0.0350  0.0170  0.0522  0.1139  0.1206  0.2770  0.1876  0.4021  0.1055  0.2005  0.1450
  7   0.2630  0.2497  0.2210  0.2058  0.3528  0.8358  0.1496  0.1115  0.0575  0.1354  0.1927  0.2232  0.0802  0.0365  0.1309  0.1022  0.1097  0.0607  0.1065  0.4637  0.6609  0.3427  0.0597  0.0350  0.0170  0.0522  0.1139  0.1206  0.2770  0.1877  0.4021  0.1053  0.2009  0.1449
  8   0.2630  0.2496  0.2210  0.2058  0.3528  0.8358  0.1496  0.1115  0.0575  0.1354  0.1927  0.2232  0.0802  0.0365  0.1309  0.1023  0.1097  0.0607  0.1065  0.4637  0.6609  0.3426  0.0597  0.0350  0.0170  0.0522  0.1139  0.1206  0.2769  0.1876  0.4020  0.1052  0.2010  0.1448

EV SCALAR COMPARISONS FOR STOCK           CWF
-------------------------------------------------
OP7 file: 1503B.OP7

Iter    1980    1981    1982    1983    1984    1985    1986    1987    1988    1989    1990    1991    1992    1993    1994    1995    1996    1997    1998    1999    2000    2001    2002    2003    2004    2005    2006    2007    2008    2009    2010    2011    2012
===========================================================================================================================================================================================================================================================================================================================
  1   3.1382  2.3321  2.1616 10.8584  7.4838 33.9841  3.9185  1.7575  1.1576  1.2019  1.1449  0.8672  0.9135  1.9477  6.3671  1.2632  1.0966  1.0550  0.9078  3.3756  5.7794  3.0313  3.3548  2.3209  0.9931  1.3124  2.6836  2.1289  4.9906  2.4258  3.0216  3.8380  2.4652  2.5661
  2   3.1318  2.3280  2.1573 10.8390  7.4745 33.9080  3.9082  1.7525  1.1533  1.1975  1.1402  0.8640  0.9106  1.9428  6.3590  1.2627  1.0967  1.0551  0.9078  3.3765  5.7838  3.0345  3.3618  2.3255  0.9942  1.3133  2.6865  2.1314  4.9995  2.4294  3.0302  3.8607  2.4602  2.4979
  3   3.1285  2.3260  2.1559 10.8350  7.4736 33.9061  3.9095  1.7542  1.1551  1.1996  1.1424  0.8649  0.9113  1.9439  6.3624  1.2634  1.0974  1.0561  0.9087  3.3794  5.7898  3.0365  3.3625  2.3261  0.9949  1.3148  2.6869  2.1319  5.0009  2.4297  3.0325  3.8771  2.4644  2.4646
  4   3.1269  2.3251  2.1550 10.8312  7.4719 33.8948  3.9079  1.7533  1.1544  1.1986  1.1414  0.8644  0.9108  1.9429  6.3596  1.2630  1.0970  1.0556  0.9083  3.3776  5.7853  3.0346  3.3605  2.3249  0.9943  1.3136  2.6859  2.1305  4.9954  2.4280  3.0306  3.8838  2.4674  2.4483
  5   3.1261  2.3246  2.1545 10.8286  7.4706 33.8850  3.9063  1.7525  1.1539  1.1981  1.1408  0.8640  0.9105  1.9423  6.3583  1.2628  1.0968  1.0554  0.9081  3.3772  5.7843  3.0341  3.3595  2.3241  0.9940  1.3134  2.6856  2.1304  4.9956  2.4278  3.0307  3.8894  2.4704  2.4404
  6   3.1257  2.3243  2.1542 10.8271  7.4698 33.8789  3.9053  1.7521  1.1537  1.1979  1.1406  0.8639  0.9103  1.9420  6.3578  1.2627  1.0967  1.0553  0.9081  3.3770  5.7839  3.0339  3.3592  2.3239  0.9940  1.3134  2.6854  2.1304  4.9956  2.4277  3.0304  3.8918  2.4719  2.4365
  7   3.1255  2.3242  2.1541 10.8262  7.4693 33.8756  3.9048  1.7519  1.1536  1.1978  1.1405  0.8638  0.9103  1.9419  6.3576  1.2627  1.0967  1.0553  0.9081  3.3769  5.7836  3.0337  3.3590  2.3238  0.9940  1.3133  2.6853  2.1303  4.9954  2.4275  3.0301  3.8927  2.4726  2.4346
  8   3.1254  2.3241  2.1540 10.8257  7.4691 33.8740  3.9046  1.7518  1.1535  1.1978  1.1405  0.8638  0.9102  1.9419  6.3575  1.2627  1.0967  1.0553  0.9080  3.3768  5.7834  3.0336  3.3588  2.3237  0.9939  1.3133  2.6853  2.1303  4.9952  2.4274  3.0298  3.8931  2.4729  2.4337

EV SCALAR COMPARISONS FOR STOCK           LRW
-------------------------------------------------
OP7 file: 1503B.OP7

Iter    1980    1981    1982    1983    1984    1985    1986    1987    1988    1989    1990    1991    1992    1993    1994    1995    1996    1997    1998    1999    2000    2001    2002    2003    2004    2005    2006    2007    2008    2009    2010    2011    2012
===========================================================================================================================================================================================================================================================================================================================
  1   3.5572  3.5747  2.1623  1.6738  2.8579  3.8648  1.9457  1.7543  2.4185  4.3659  2.2032  2.1528  0.9445  0.9186  0.7850  0.1866  0.2046  0.6469  1.0929  1.7673  1.9146  0.7110  1.7583  0.6547  0.2427  0.5342  0.6209  0.5252  1.1638  0.8219  0.9732  2.4117  1.1748  3.0385
  2   3.5577  3.5899  2.1760  1.6744  2.8554  3.8603  1.9401  1.7482  2.4210  4.3818  2.2176  2.1548  0.9426  0.9179  0.7856  0.1864  0.2045  0.6480  1.0934  1.7685  1.9164  0.7117  1.7595  0.6554  0.2431  0.5341  0.6218  0.5256  1.1665  0.8235  0.9729  2.4067  1.1720  3.0027
  3   3.5560  3.5923  2.1789  1.6745  2.8563  3.8584  1.9397  1.7485  2.4215  4.3834  2.2192  2.1548  0.9430  0.9180  0.7856  0.1865  0.2046  0.6482  1.0939  1.7692  1.9175  0.7118  1.7594  0.6553  0.2431  0.5341  0.6218  0.5257  1.1659  0.8233  0.9716  2.4067  1.1703  2.9901
  4   3.5543  3.5909  2.1781  1.6742  2.8565  3.8566  1.9396  1.7490  2.4215  4.3821  2.2180  2.1530  0.9425  0.9173  0.7849  0.1865  0.2045  0.6483  1.0937  1.7680  1.9164  0.7116  1.7592  0.6555  0.2430  0.5344  0.6215  0.5255  1.1654  0.8230  0.9707  2.4074  1.1695  2.9845
  5   3.5529  3.5889  2.1766  1.6738  2.8563  3.8555  1.9394  1.7493  2.4215  4.3813  2.2169  2.1521  0.9422  0.9170  0.7846  0.1865  0.2044  0.6482  1.0936  1.7677  1.9161  0.7115  1.7591  0.6554  0.2430  0.5345  0.6215  0.5255  1.1653  0.8229  0.9703  2.4083  1.1695  2.9815
  6   3.5520  3.5872  2.1753  1.6734  2.8560  3.8549  1.9393  1.7494  2.4214  4.3806  2.2159  2.1517  0.9421  0.9168  0.7845  0.1865  0.2044  0.6481  1.0935  1.7678  1.9160  0.7115  1.7591  0.6553  0.2430  0.5344  0.6215  0.5255  1.1651  0.8228  0.9701  2.4087  1.1694  2.9801
  7   3.5515  3.5861  2.1744  1.6731  2.8557  3.8547  1.9391  1.7493  2.4212  4.3798  2.2152  2.1516  0.9421  0.9167  0.7845  0.1865  0.2044  0.6481  1.0935  1.7678  1.9159  0.7115  1.7591  0.6553  0.2430  0.5344  0.6214  0.5255  1.1651  0.8227  0.9699  2.4089  1.1695  2.9794
  8   3.5511  3.5854  2.1738  1.6730  2.8554  3.8546  1.9390  1.7492  2.4209  4.3791  2.2146  2.1516  0.9422  0.9167  0.7845  0.1865  0.2044  0.6480  1.0935  1.7679  1.9159  0.7115  1.7591  0.6552  0.2430  0.5343  0.6214  0.5255  1.1651  0.8227  0.9698  2.4090  1.1695  2.9790

EV SCALAR COMPARISONS FOR STOCK           WSH
-------------------------------------------------
OP7 file: 1503B.OP7

Iter    1980    1981    1982    1983    1984    1985    1986    1987    1988    1989    1990    1991    1992    1993    1994    1995    1996    1997    1998    1999    2000    2001    2002    2003    2004    2005    2006    2007    2008    2009    2010    2011    2012
===========================================================================================================================================================================================================================================================================================================================
  1   1.2722 12.2529 12.1402  8.5452 11.3889 14.7808 17.8086 15.4033 18.9754 13.5527  9.4781  7.4438  7.1769  4.9307  4.0759  5.9315  6.0363  6.4909  8.6657  8.3791 20.3747 13.9456 15.8965  5.3866  9.0975  2.6327  4.1855  6.1606 13.9009 10.1963  7.5914  5.6054  6.7748  6.2119
  2   1.2672 12.2348 12.1215  8.5317 11.3745 14.7577 17.7777 15.3774 18.9441 13.5304  9.4611  7.4278  7.1606  4.9212  4.0711  5.9288  6.0363  6.4921  8.6674  8.3806 20.3832 13.9529 15.9083  5.3916  9.1072  2.6355  4.1892  6.1657 13.9124 10.2060  7.6000  5.6124  6.7939  6.2360
  3   1.2660 12.2260 12.1126  8.5270 11.3715 14.7516 17.7696 15.3732 18.9413 13.5292  9.4602  7.4273  7.1615  4.9223  4.0719  5.9306  6.0385  6.4941  8.6699  8.3825 20.3882 13.9558 15.9103  5.3919  9.1074  2.6357  4.1892  6.1654 13.9122 10.2051  7.5988  5.6141  6.8034  6.2506
  4   1.2660 12.2216 12.1081  8.5247 11.3699 14.7480 17.7641 15.3689 18.9355 13.5239  9.4558  7.4233  7.1579  4.9204  4.0708  5.9291  6.0372  6.4930  8.6685  8.3814 20.3843 13.9529 15.9070  5.3907  9.1055  2.6350  4.1883  6.1643 13.9091 10.2028  7.5972  5.6145  6.8091  6.2593
  5   1.2663 12.2194 12.1059  8.5236 11.3689 14.7458 17.7607 15.3659 18.9316 13.5208  9.4535  7.4213  7.1560  4.9193  4.0702  5.9284  6.0366  6.4926  8.6680  8.3810 20.3830 13.9519 15.9056  5.3902  9.1044  2.6347  4.1880  6.1640 13.9087 10.2025  7.5969  5.6150  6.8125  6.2643
  6   1.2666 12.2183 12.1048  8.5229 11.3682 14.7444 17.7587 15.3642 18.9295 13.5192  9.4524  7.4204  7.1551  4.9188  4.0699  5.9282  6.0364  6.4924  8.6678  8.3808 20.3823 13.9515 15.9050  5.3899  9.1039  2.6346  4.1879  6.1638 13.9084 10.2022  7.5965  5.6150  6.8142  6.2670
  7   1.2668 12.2178 12.1042  8.5226 11.3678 14.7437 17.7576 15.3633 18.9284 13.5185  9.4519  7.4200  7.1547  4.9186  4.0698  5.9281  6.0363  6.4923  8.6676  8.3807 20.3819 13.9512 15.9047  5.3898  9.1037  2.6345  4.1878  6.1637 13.9081 10.2019  7.5962  5.6150  6.8149  6.2685
  8   1.2670 12.2175 12.1039  8.5224 11.3676 14.7433 17.7570 15.3628 18.9278 13.5181  9.4517  7.4198  7.1546  4.9185  4.0697  5.9281  6.0363  6.4922  8.6676  8.3806 20.3817 13.9511 15.9045  5.3897  9.1036  2.6345  4.1877  6.1636 13.9079 10.2018  7.5961  5.6149  6.8153  6.2693

EV SCALAR COMPARISONS FOR STOCK           CWS
-------------------------------------------------
OP7 file: 1503B.OP7

Iter    1980    1981    1982    1983    1984    1985    1986    1987    1988    1989    1990    1991    1992    1993    1994    1995    1996    1997    1998    1999    2000    2001    2002    2003    2004    2005    2006    2007    2008    2009    2010    2011    2012
===========================================================================================================================================================================================================================================================================================================================
  1   0.6451  1.8915  1.6012  0.8116  1.1958  2.1786  1.5622  1.1587 44.3118  1.0199  1.4896  0.9253  0.4162  0.1261  0.2573  0.1754  0.1855  0.2602  0.4112  0.2345  1.1324  1.3177  1.3368  0.9192  1.6858  0.4757  0.2510  0.4012  0.6630  0.3053  0.7577  0.4395  0.7082  1.0016
  2   0.6422  1.8886  1.5988  0.8105  1.1947  2.1756  1.5592  1.1568 44.0777  1.0173  1.4858  0.9227  0.4152  0.1258  0.2569  0.1753  0.1854  0.2593  0.4111  0.2345  1.1327  1.3184  1.3382  0.9207  1.6886  0.4762  0.2513  0.4016  0.6639  0.3057  0.7594  0.4407  0.7141  0.9658
  3   0.6415  1.8872  1.5977  0.8101  1.1944  2.1748  1.5587  1.1567 44.0666  1.0179  1.4868  0.9232  0.4153  0.1259  0.2570  0.1753  0.1855  0.2597  0.4115  0.2347  1.1336  1.3195  1.3387  0.9208  1.6889  0.4769  0.2514  0.4016  0.6642  0.3058  0.7594  0.4412  0.7184  0.9492
  4   0.6415  1.8864  1.5971  0.8098  1.1941  2.1742  1.5581  1.1563 44.0462  1.0174  1.4858  0.9226  0.4151  0.1258  0.2569  0.1753  0.1855  0.2595  0.4113  0.2346  1.1330  1.3187  1.3381  0.9203  1.6882  0.4763  0.2512  0.4015  0.6635  0.3055  0.7586  0.4408  0.7204  0.9415
  5   0.6417  1.8861  1.5968  0.8097  1.1940  2.1737  1.5577  1.1559 44.0384  1.0171  1.4853  0.9222  0.4150  0.1258  0.2569  0.1753  0.1855  0.2594  0.4113  0.2345  1.1329  1.3185  1.3379  0.9201  1.6877  0.4762  0.2512  0.4014  0.6635  0.3055  0.7586  0.4409  0.7219  0.9380
  6   0.6419  1.8859  1.5967  0.8096  1.1938  2.1735  1.5574  1.1557 44.0378  1.0169  1.4851  0.9221  0.4149  0.1258  0.2569  0.1753  0.1855  0.2594  0.4113  0.2345  1.1328  1.3185  1.3378  0.9201  1.6876  0.4762  0.2512  0.4014  0.6635  0.3055  0.7585  0.4408  0.7225  0.9363
  7   0.6420  1.8858  1.5966  0.8096  1.1938  2.1733  1.5573  1.1556 44.0398  1.0169  1.4850  0.9220  0.4149  0.1258  0.2569  0.1753  0.1855  0.2595  0.4112  0.2345  1.1328  1.3184  1.3377  0.9200  1.6875  0.4762  0.2512  0.4014  0.6635  0.3055  0.7584  0.4407  0.7227  0.9355
  8   0.6421  1.8858  1.5966  0.8096  1.1938  2.1733  1.5572  1.1556 44.0422  1.0169  1.4850  0.9220  0.4149  0.1258  0.2569  0.1753  0.1854  0.2595  0.4112  0.2345  1.1327  1.3184  1.3377  0.9200  1.6874  0.4762  0.2512  0.4014  0.6635  0.3055  0.7584  0.4406  0.7228  0.9351

EV SCALAR COMPARISONS FOR STOCK           SUM
-------------------------------------------------
OP7 file: 1503B.OP7

Iter    1980    1981    1982    1983    1984    1985    1986    1987    1988    1989    1990    1991    1992    1993    1994    1995    1996    1997    1998    1999    2000    2001    2002    2003    2004    2005    2006    2007    2008    2009    2010    2011    2012
===========================================================================================================================================================================================================================================================================================================================
  1   0.4665  0.5838  0.5481  0.6467  0.6875  0.5572  0.4762  0.4242  0.3003  0.2961  0.3468  0.3252  0.3726  0.3096  0.5700  0.3651  0.4711  0.7566  1.5456  1.8244  1.5128  1.2818  1.7284  2.0234  1.4288  1.0998  1.3641  2.1829  1.4887  1.5487  1.5419  1.9689  2.3346  2.5476
  2   0.4654  0.5823  0.5457  0.6433  0.6844  0.5547  0.4739  0.4221  0.2987  0.2945  0.3451  0.3231  0.3695  0.3076  0.5663  0.3637  0.4687  0.7530  1.5382  1.8205  1.5117  1.2841  1.7403  2.0387  1.4350  1.1017  1.3632  2.1653  1.4933  1.5486  1.5430  1.9871  2.3547  2.5265
  3   0.4649  0.5817  0.5450  0.6425  0.6838  0.5544  0.4737  0.4221  0.2989  0.2946  0.3454  0.3235  0.3702  0.3080  0.5676  0.3643  0.4698  0.7548  1.5423  1.8242  1.5140  1.2842  1.7345  2.0292  1.4316  1.1012  1.3652  2.1812  1.4916  1.5501  1.5392  1.9746  2.3521  2.5211
